time,TCOMP,SK,QTOP,QBOT,H0001,H0002,H0003,H0004,H0005,H0006,H0007,H0008,H0009,H0010,H0011,H0012,H0013,H0014,H0015,H0016,H0017,H0018,H0019,EST,ESB,PST,PSB,GS,ES
15.87359225577,0.1344446672E-02,0.1001735052E-01,-0.2431089623E-04,-0.2428530743E-04,0.2559041709,0.6550365082,0.8702122249,0.9588795366,0.9886932573,0.9972376433,0.9993892789,0.9998759382,0.9999759423,0.9999917162,0.9999757974,0.9998751856,0.9993858626,0.9972239608,0.9886461257,0.9587454092,0.8699175082,0.6546009654,0.2556348151,998.7967274,999.7443652,998.7853468,999.7330007,2000.000000,1000.000000
17.05040993807,0.1399283465E-02,0.1001724070E-01,-0.2331084568E-04,-0.2328668078E-04,0.2453773229,0.6368736369,0.8569947464,0.9523608712,0.9861944061,0.9964410594,0.9991693241,0.9998218000,0.9999634077,0.9999867460,0.9999631937,0.9998207459,0.9991648020,0.9964239531,0.9861387701,0.9522113830,0.8566844344,0.6364396267,0.2451229555,998.8072543,999.7548770,998.7967274,999.7443652,2000.000000,1000.000000
18.28606850449,0.1454571103E-02,0.1001712997E-01,-0.2238315217E-04,-0.2236030649E-04,0.2356121281,0.6191460470,0.8433826539,0.9452610740,0.9833135915,0.9954688599,0.9988851942,0.9997477861,0.9999452143,0.9999791563,0.9999449039,0.9997463329,0.9988792937,0.9954477463,0.9832486451,0.9450959888,0.8430581381,0.6187151806,0.2353716472,998.8170195,999.7646284,998.8072543,999.7548770,2000.000000,1000.000000
19.58350999922,0.1510384923E-02,0.1001701819E-01,-0.2151999954E-04,-0.2149837192E-04,0.2265263109,0.6018759619,0.8294343034,0.9375857097,0.9800237010,0.9942955346,0.9985228013,0.9996480071,0.9999191998,0.9999677560,0.9999187568,0.9996460337,0.9985152069,0.9942697914,0.9799486819,0.9374049643,0.8290970585,0.6014496199,0.2262986518,998.8261053,999.7737013,998.8170195,999.7646284,2000.000000,1000.000000
20.94582356870,0.1566796151E-02,0.1001690521E-01,-0.2071445359E-04,-0.2069394848E-04,0.2180468799,0.5850779220,0.8152071792,0.9293460128,0.9763002358,0.9928945171,0.9980661765,0.9995152869,0.9998825310,0.9999509012,0.9998819088,0.9995126454,0.9980565291,0.9928634923,0.9762144437,0.9291497158,0.8148587289,0.5846572654,0.2178310367,998.8345847,999.7821690,998.8261053,999.7737013,2000.000000,1000.000000
22.37625281664,0.1623872179E-02,0.1001679089E-01,-0.1996040025E-04,-0.1994092895E-04,0.2101094764,0.5687598388,0.8007570087,0.9205585065,0.9721218513,0.9912386041,0.9974974871,0.9993410083,0.9998315508,0.9999263602,0.9998306904,0.9993375215,0.9974853843,0.9912016269,0.9720246649,0.9203469325,0.8003988944,0.5683458253,0.2099045152,998.8425221,999.7900955,998.8345847,999.7821690,2000.000000,1000.000000
23.87820352698,0.1681676904E-02,0.1001667512E-01,-0.1925247551E-04,-0.1923395681E-04,0.2026576369,0.5529240346,0.7861370293,0.9112445056,0.9674708174,0.9893004241,0.9967971126,0.9991149723,0.9997616064,0.9998911518,0.9997604340,0.9991104306,0.9967821109,0.9892568171,0.9673617090,0.9110180852,0.7857707821,0.5525174371,0.2024627033,998.8499739,999.7975373,998.8425221,999.7900955,2000.000000,1000.000000
25.45525177285,0.1740271095E-02,0.1001655777E-01,-0.1858599125E-04,-0.1856835166E-04,0.1956420131,0.5375682318,0.7713974151,0.9014295288,0.9623333804,0.9870529408,0.9959437838,0.9988252761,0.9996668605,0.9998413561,0.9996652858,0.9988194363,0.9959254024,0.9870020337,0.9622119284,0.9011888348,0.7710245315,0.5371696591,0.1954563332,998.8569896,999.8045437,998.8499739,999.7975373,2000.000000,1000.000000
27.11115243100,0.1799712786E-02,0.1001643872E-01,-0.1795686053E-04,-0.1794003403E-04,0.1890195845,0.5226864681,0.7565848591,0.8911426495,0.9567000168,0.9844699723,0.9949147851,0.9984582197,0.9995400902,0.9997718984,0.9995380048,0.9984508037,0.9948925110,0.9844111156,0.9565659149,0.8908883811,0.7562067817,0.5222963857,0.1888424635,998.8636120,999.8111575,998.8569896,999.8045437,2000.000000,1000.000000
28.84984812206,0.1860057659E-02,0.1001631786E-01,-0.1736152496E-04,-0.1734545261E-04,0.1827528943,0.5082699185,0.7417423051,0.8804158132,0.9505655716,0.9815267062,0.9936862160,0.9979982458,0.9993724790,0.9996763097,0.9993697543,0.9979889409,0.9936595115,0.9814592856,0.9504186353,0.8801487776,0.7413604066,0.5078886688,0.1825837117,998.8698787,999.8174163,998.8636120,999.8111575,2000.000000,1000.000000
30.67547859767,0.1921359413E-02,0.1001619508E-01,-0.1679688635E-04,-0.1678151568E-04,0.1768093300,0.4943076146,0.7269088104,0.8692831493,0.9439292823,0.9782001911,0.9922333066,0.9974279215,0.9991534064,0.9995464671,0.9991498933,0.9974163821,0.9922016175,0.9781236415,0.9437694518,0.8690042427,0.7265243829,0.4939354362,0.1766475335,998.8758222,999.8233525,998.8698787,999.8174163,2000.000000,1000.000000
32.59239059707,0.1983670118E-02,0.1001607029E-01,-0.1626024397E-04,-0.1624552831E-04,0.1711604629,0.4807870587,0.7121195256,0.8577803003,0.9367946929,0.9744697852,0.9905307754,0.9967279636,0.9988702455,0.9993723224,0.9988657737,0.9967138136,0.9904935414,0.9743836032,0.9366220324,0.8574904884,0.7117337726,0.4804241035,0.1710055612,998.8814711,999.8289944,998.8758222,999.8233525,2000.000000,1000.000000
34.60514819643,0.2047040531E-02,0.1001594337E-01,-0.1574923822E-04,-0.1573513605E-04,0.1657814550,0.4676947346,0.6974057681,0.8459437891,0.9291694663,0.9703175446,0.9885532168,0.9958773099,0.9985081755,0.9991416281,0.9985025540,0.9958601478,0.9885098820,0.9702213001,0.9289841612,0.8456440882,0.6970198006,0.4673410835,0.1656330110,998.8868501,999.8343670,998.8814711,999.8289944,2000.000000,1000.000000
36.71854367577,0.2111520388E-02,0.1001581422E-01,-0.1526180102E-04,-0.1524827529E-04,0.1606505370,0.4550165221,0.6827951692,0.8338104399,0.9210651107,0.9657285379,0.9862755026,0.9948532376,0.9980500193,0.9988396733,0.9980430383,0.9948326418,0.9862255274,0.9656218835,0.9208674613,0.8335018990,0.6824100042,0.4546721984,0.1605081610,998.8919810,999.8394918,998.8868501,999.8343670,2000.000000,1000.000000
38.93760892907,0.2177158659E-02,0.1001568276E-01,-0.1479611273E-04,-0.1478313032E-04,0.1557485551,0.4427380255,0.6683118764,0.8214168626,0.9124966332,0.9606910748,0.9836731804,0.9936315238,0.9974761166,0.9984490423,0.9974675494,0.9936070604,0.9836160533,0.9605737538,0.9122870466,0.8211005471,0.6679284379,0.4424030062,0.1556118981,998.8968830,999.8443881,998.8919810,999.8394918,2000.000000,1000.000000
41.26762744503,0.2244003772E-02,0.1001554888E-01,-0.1435056537E-04,-0.1433809649E-04,0.1510585828,0.4308448257,0.6539767903,0.8087990080,0.9034821369,0.9551968451,0.9807228529,0.9921866443,0.9967642404,0.9979494108,0.9967538475,0.9921578754,0.9806581021,0.9550686966,0.9032611173,0.8084759846,0.6535959120,0.4305190510,0.1509273315,998.9015730,999.8490727,998.8968830,999.8443881,2000.000000,1000.000000
43.71414688679,0.2312103816E-02,0.1001541249E-01,-0.1392373132E-04,-0.1391174908E-04,0.1465655928,0.4193226685,0.6398078221,0.7959917925,0.8940423810,0.9492409614,0.9774025195,0.9904920030,0.9958895674,0.9973173966,0.9958771006,0.9904584967,0.9773297246,0.9491019235,0.8938105181,0.7956631171,0.6394302513,0.4190060499,0.1464394640,998.9060660,999.8535605,998.9015730,999.8490727,2000.000000,1000.000000
