 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          4          1.651373         1          1          1          2          18         0.52560985       44.876792        0.4492613        9.9241586e-05    1.0899961e-05    0.010899961     
 1          4          1.651373         1          1          1          2          19         0.50375228       41.036996        0.42536502       7.7372928e-05    1.1266102e-05    0.011266102     
 1          5          2.1170797        1          1          1          2          1          0.49860637       40.228708        0.41943444       7.2673749e-05    1.1598453e-05    0.011598453     
 1          5          2.1170797        1          1          1          2          2          0.52528633       44.823611        0.44892211       9.8895114e-05    1.110903e-05     0.01110903      
 1          5          2.1170797        1          1          1          2          3          0.52628275       44.994333        0.44996547       9.9964429e-05    1.1079274e-05    0.011079274     
 1          5          2.1170797        1          1          1          2          4          0.52631489       44.999845        0.44999905       9.9999026e-05    1.1065828e-05    0.011065828     
 1          5          2.1170797        1          1          1          2          5          0.52631577       44.999996        0.44999998       9.9999976e-05    1.1052939e-05    0.011052939     
 1          5          2.1170797        1          1          1          2          6          0.52631579       45               0.45             9.9999999e-05    1.1040093e-05    0.011040093     
 1          5          2.1170797        1          1          1          2          7          0.52631579       45               0.45             0.0001           1.1027278e-05    0.011027278     
 1          5          2.1170797        1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014493e-05    0.011014493     
 1          5          2.1170797        1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001738e-05    0.011001738     
 1          5          2.1170797        1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989011e-05    0.010989011     
 1          5          2.1170797        1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976315e-05    0.010976315     
 1          5          2.1170797        1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963647e-05    0.010963647     
 1          5          2.1170797        1          1          1          2          13         0.52631579       45               0.45             0.0001           1.0951009e-05    0.010951009     
 1          5          2.1170797        1          1          1          2          14         0.52631579       45               0.45             9.9999999e-05    1.09384e-05      0.0109384       
 1          5          2.1170797        1          1          1          2          15         0.52631577       44.999996        0.44999998       9.9999974e-05    1.092582e-05     0.01092582      
 1          5          2.1170797        1          1          1          2          16         0.52631484       44.999834        0.449999         9.9998974e-05    1.0913284e-05    0.010913284     
 1          5          2.1170797        1          1          1          2          17         0.52628153       44.994029        0.4499642        9.9963118e-05    1.0901314e-05    0.010901314     
 1          5          2.1170797        1          1          1          2          18         0.52526731       44.816995        0.44890215       9.8874768e-05    1.0905654e-05    0.010905654     
 1          5          2.1170797        1          1          1          2          19         0.49865854       40.137736        0.41949518       7.2720544e-05    1.1359226e-05    0.011359226     
 1          6          2.6060717        1          1          1          2          1          0.49369406       39.377683        0.41365775       6.8345347e-05    1.169192e-05     0.01169192      
 1          6          2.6060717        1          1          1          2          2          0.52488909       44.755527        0.44850505       9.8470643e-05    1.1115753e-05    0.011115753     
 1          6          2.6060717        1          1          1          2          3          0.52626187       44.990752        0.44994365       9.9941955e-05    1.1079625e-05    0.011079625     
 1          6          2.6060717        1          1          1          2          4          0.52631408       44.999706        0.44999821       9.9998159e-05    1.1065842e-05    0.011065842     
 1          6          2.6060717        1          1          1          2          5          0.52631574       44.999992        0.44999995       9.9999948e-05    1.1052939e-05    0.011052939     
 1          6          2.6060717        1          1          1          2          6          0.52631579       45               0.45             9.9999999e-05    1.1040094e-05    0.011040094     
 1          6          2.6060717        1          1          1          2          7          0.52631579       45               0.45             0.0001           1.1027279e-05    0.011027279     
 1          6          2.6060717        1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014493e-05    0.011014493     
 1          6          2.6060717        1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001738e-05    0.011001738     
 1          6          2.6060717        1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989011e-05    0.010989011     
 1          6          2.6060717        1          1          1          2          11         0.52631579       45               0.45             0.0001           1.0976315e-05    0.010976315     
 1          6          2.6060717        1          1          1          2          12         0.52631579       45               0.45             0.0001           1.0963647e-05    0.010963647     
 1          6          2.6060717        1          1          1          2          13         0.52631579       45               0.45             0.0001           1.0951009e-05    0.010951009     
 1          6          2.6060717        1          1          1          2          14         0.52631579       45               0.45             9.9999999e-05    1.09384e-05      0.0109384       
 1          6          2.6060717        1          1          1          2          15         0.52631574       44.999991        0.44999995       9.9999945e-05    1.0925821e-05    0.010925821     
 1          6          2.6060717        1          1          1          2          16         0.52631399       44.999687        0.44999812       9.9998062e-05    1.0913299e-05    0.010913299     
 1          6          2.6060717        1          1          1          2          17         0.5262599        44.990259        0.44994159       9.9939841e-05    1.0901673e-05    0.010901673     
 1          6          2.6060717        1          1          1          2          18         0.52486321       44.74644         0.44847785       9.8443016e-05    1.091238e-05     0.01091238      
 1          6          2.6060717        1          1          1          2          19         0.49376422       39.272078        0.41374106       6.840609e-05     1.1450557e-05    0.011450557     
 1          7          3.1195134        1          1          1          2          1          0.48897033       38.557854        0.40799336       6.4327099e-05    1.1783607e-05    0.011783607     
 1          7          3.1195134        1          1          1          2          2          0.52443379       44.677477        0.44802625       9.7985399e-05    1.1123473e-05    0.011123473     
 1          7          3.1195134        1          1          1          2          3          0.52623338       44.985866        0.44991386       9.991129e-05     1.1080105e-05    0.011080105     
 1          7          3.1195134        1          1          1          2          4          0.5263128        44.999487        0.44999688       9.9996781e-05    1.1065863e-05    0.011065863     
 1          7          3.1195134        1          1          1          2          5          0.52631569       44.999984        0.4499999        9.9999898e-05    1.105294e-05     0.01105294      
 1          7          3.1195134        1          1          1          2          6          0.52631579       45               0.45             9.9999997e-05    1.1040094e-05    0.011040094     
 1          7          3.1195134        1          1          1          2          7          0.52631579       45               0.45             0.0001           1.1027279e-05    0.011027279     
 1          7          3.1195134        1          1          1          2          8          0.52631579       45               0.45             0.0001           1.1014493e-05    0.011014493     
 1          7          3.1195134        1          1          1          2          9          0.52631579       45               0.45             0.0001           1.1001738e-05    0.011001738     
 1          7          3.1195134        1          1          1          2          10         0.52631579       45               0.45             0.0001           1.0989012e-05    0.010989012     
